Id de contacto,Encuesta: Id.,Codigo de Cliente,Estado,Localidad,Edad,Sexo,Habla lengua indigena?,Temporalidad de Ingresos,Tiene cuenta bancaria?,Credito Activo?,Apoyo Programas,Remesas,Actividad Economica Principal,Tiene Cultivo,Tipo de cultivo,Parcelas Terreno,Animales,Numero vacas,Numero puercos borregos,Numero aves otros,Cuartos en la Casa,Material de Vivienda,Cuenta con Luz Electrica,Fuente de Iluminacion,Gasto Fuente de Iluminacion,Donde se consigue fuente de iluminacion,Aparatos que comprara con luz,Proveniencia agua para beber,Acceso transporte,Nombre de la cuenta
0031600002dDDTD,a0s1600000Ejglg,20-404-0055-007,Oaxaca,R’o Sapo,48,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002dDDU1,a0s1600000Ejgoe,20-002-0005-007,Oaxaca,Aserradero Segundo,45,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Tabique/piedra y Techo de L‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002QMaEa,a0s1600000BM3Mc,20-313-0001-016,Oaxaca,San Pedro Jocotipac,43,,NO,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
0031600002QMaEB,a0s1600000BM3MS,20-313-0001-014,Oaxaca,San Pedro Jocotipac,65,,NO,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
0031600002dDDTr,a0s1600000EjgoZ,20-002-0005-012,Oaxaca,Aserradero Segundo,44,Masculino,SI,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002QMa7t,a0s1600000BM3M8,20-313-0001-021,Oaxaca,San Pedro Jocotipac,34,,SI,Temporal,NO,,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,250,,Television;Radio;Refrigerador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002QMaEL,a0s1600000BM3MX,20-313-0001-015,Oaxaca,San Pedro Jocotipac,84,,NO,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
0031600002QMMXr,a0s1600000BM3F2,20-098-0021-019,Oaxaca,Piedra Colorada,48,,NO,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
0031600002QMaEp,a0s1600000BM3Mh,20-313-0001-017,Oaxaca,San Pedro Jocotipac,59,,NO,Temporal,NO,,ProCampo,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador,La hierven,,Huautla ILUCentro
0031600002QMaFO,a0s1600000BM3Mr,20-313-0001-023,Oaxaca,San Pedro Jocotipac,41,,NO,Temporal,NO,,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002dDDSZ,a0s1600000EjglW,20-002-0005-006,Oaxaca,Aserradero Segundo,66,Masculino,SI,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002QMMXc,a0s1600000BM3Ex,20-098-0021-018,Oaxaca,Piedra Colorada,20,,NO,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
0031600002dDDRH,a0s1600000Ejgl7,20-002-0005-009,Oaxaca,Aserradero Segundo,51,Masculino,SI,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002dDDRM,a0s1600000EjglC,20-002-0005-008,Oaxaca,Aserradero Segundo,47,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002by459,a0s1600000Eij5V,20-002-0071-002,Oaxaca,La Cotorra,50,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,300,,Television;Radio;Refrigerador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002by46R,a0s1600000Eij6d,20-002-0007-001,Oaxaca,Ca–ada San Antonio,62,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,350,,Television;Radio;Refrigerador;Ventilador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002by467,a0s1600000Eij6J,20-002-0022-004,Oaxaca,Las Maravillas,59,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,350,,Television;Radio;Refrigerador;Ventilador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002by46M,a0s1600000Eij6Y,20-002-0033-001,Oaxaca,Tembladera del Castillo,38,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,320,,Television;Radio;Refrigerador;Ventilador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002by46q,a0s1600000Eij72,20-002-0007-007,Oaxaca,Ca–ada San Antonio,35,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,260,,Television;Radio;Refrigerador;Ventilador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002dDDQx,a0s1600000Ejgkx,20-002-0005-011,Oaxaca,Aserradero Segundo,45,Masculino,SI,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002QOGsi,a0s1600000BMSQy,20-027-0003-004,Oaxaca,La Concepci—n,36,,NO,Temporal,NO,,ProCampo,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Licuadora,La hierven,,Huautla ILUCentro
